date,year_month,n_firms,Mkt-RF,SMB,HML,RF,portfolio_return,excess_return
1981-07-01,1981-07,282,-0.0154,-0.0219,-0.005,0.0124,-0.0204,-0.0328
1981-08-01,1981-08,282,-0.0704,-0.0195,0.0475999999999999,0.0128,-0.07540000000000001,-0.08820000000000001
1981-09-01,1981-09,283,-0.0717,-0.0265,0.0516999999999999,0.0124,-0.0767,-0.0891
1981-10-01,1981-10,283,0.0492,0.0223,-0.0421,0.0121,0.0442,0.032100000000000004
1981-11-01,1981-11,280,0.0336,-0.0103,0.0183,0.0107,0.028599999999999997,0.0179
1981-12-01,1981-12,288,-0.0365,0.012,0.0081,0.0087,-0.041499999999999995,-0.050199999999999995
1982-01-01,1982-01,293,-0.0324,-0.0128,0.0319,0.008,-0.037399999999999996,-0.045399999999999996
1982-02-01,1982-02,293,-0.0586,0.0044,0.0605,0.0092,-0.0636,-0.0728
1982-03-01,1982-03,290,-0.0187,-0.0021,0.0381,0.0098,-0.023700000000000002,-0.0335
1982-04-01,1982-04,293,0.0327,0.0147,-0.027,0.0113,0.0277,0.016399999999999998
1982-05-01,1982-05,292,-0.0399,0.0052,0.0175,0.0106,-0.044899999999999995,-0.055499999999999994
1982-06-01,1982-06,297,-0.0308999999999999,-0.004,0.0153,0.0096,-0.0358999999999999,-0.045499999999999895
1982-07-01,1982-07,300,-0.0319,0.0083,0.0009,0.0105,-0.036899999999999995,-0.0474
1982-08-01,1982-08,304,0.1114,-0.0414,0.0095,0.0076,0.1064,0.0988
1982-09-01,1982-09,313,0.0129,0.0295,0.0028,0.0051,0.0079,0.0028000000000000004
1982-10-01,1982-10,313,0.113,0.0233999999999999,-0.0366,0.0059,0.108,0.1021
1982-11-01,1982-11,318,0.0467,0.0467,-0.0187,0.0063,0.0417,0.0354
1982-12-01,1982-12,331,0.0055,-0.0022,-0.0002,0.0067,0.0004999999999999996,-0.006200000000000001
1983-01-01,1983-01,338,0.036,0.0273,-0.0075,0.0069,0.030999999999999996,0.024099999999999996
1983-02-01,1983-02,346,0.0259,0.0327,0.0069999999999999,0.0062,0.0209,0.014699999999999998
1983-03-01,1983-03,359,0.0282,0.0173,0.0202,0.0063,0.0232,0.0169
1983-04-01,1983-04,367,0.0667,0.005,0.0049,0.0070999999999999,0.0617,0.0546000000000001
1983-05-01,1983-05,390,0.0052,0.0624,-0.0139999999999999,0.0069,0.00019999999999999966,-0.0067
1983-06-01,1983-06,403,0.0306999999999999,0.0095,-0.039,0.0067,0.0256999999999999,0.0189999999999999
1983-07-01,1983-07,415,-0.0407,0.015,0.0562,0.0074,-0.0457,-0.053099999999999994
1983-08-01,1983-08,438,-0.005,-0.0428,0.0554,0.0076,-0.01,-0.0176
1983-09-01,1983-09,452,0.0091,0.0060999999999999,0.0101,0.0076,0.0041,-0.0034999999999999996
1983-10-01,1983-10,455,-0.0344,-0.0356999999999999,0.0496999999999999,0.0076,-0.0394,-0.047
1983-11-01,1983-11,458,0.0216,0.0200999999999999,-0.0072,0.0069999999999999,0.0166,0.0096000000000001
1983-12-01,1983-12,449,-0.0178,-0.0027,0.0173,0.0073,-0.0228,-0.030100000000000002
1984-01-01,1984-01,435,-0.0192,-0.0038,0.0758,0.0076,-0.0242,-0.0318
1984-02-01,1984-02,429,-0.0482,-0.0169,0.0333,0.0070999999999999,-0.0532,-0.060299999999999895
1984-03-01,1984-03,425,0.0063,0.0007,0.0046,0.0073,0.0013,-0.006
1984-04-01,1984-04,413,-0.0051,-0.0116,0.012,0.0081,-0.010100000000000001,-0.0182
1984-05-01,1984-05,403,-0.0596999999999999,0.0006,0.0031,0.0078,-0.0646999999999999,-0.0724999999999999
1984-06-01,1984-06,388,0.0182,-0.003,-0.0266,0.0075,0.0132,0.0057
1984-07-01,1984-07,375,-0.0274,-0.0220999999999999,0.0036,0.0081999999999999,-0.0324,-0.0405999999999999
1984-08-01,1984-08,373,0.1027999999999999,-0.0024,-0.0182,0.0083,0.0977999999999999,0.0894999999999999
1984-09-01,1984-09,370,-0.008,0.0017,0.0528,0.0086,-0.013000000000000001,-0.0216
1984-10-01,1984-10,370,-0.0084,-0.0123,0.0045,0.01,-0.013399999999999999,-0.023399999999999997
1984-11-01,1984-11,379,-0.0176,-0.0065,0.0406,0.0073,-0.022600000000000002,-0.029900000000000003
1984-12-01,1984-12,373,0.0184,-0.0056,-0.0026,0.0064,0.013399999999999999,0.006999999999999998
1985-01-01,1985-01,370,0.0799,0.0331,-0.0535,0.0065,0.0749,0.06839999999999999
1985-02-01,1985-02,370,0.0121999999999999,0.0079,-0.001,0.0058,0.0071999999999999,0.0013999999999999005
1985-03-01,1985-03,379,-0.0084,-0.0108,0.0407,0.0062,-0.013399999999999999,-0.0196
1985-04-01,1985-04,378,-0.0096,0.0014,0.0372,0.0072,-0.014599999999999998,-0.0218
1985-05-01,1985-05,386,0.0509,-0.0222,-0.0096,0.0066,0.0459,0.0393
1985-06-01,1985-06,386,0.0127,0.0052,0.0038,0.0055,0.007699999999999999,0.0021999999999999997
1985-07-01,1985-07,394,-0.0074,0.0283999999999999,-0.0162,0.0062,-0.012400000000000001,-0.018600000000000002
1985-08-01,1985-08,397,-0.0102,-0.003,0.0232,0.0055,-0.015200000000000002,-0.020700000000000003
1985-09-01,1985-09,397,-0.0454,-0.0159,0.0129,0.006,-0.0504,-0.0564
1985-10-01,1985-10,398,0.0401999999999999,-0.0151,0.0075,0.0065,0.035199999999999905,0.028699999999999906
1985-11-01,1985-11,394,0.0648,0.0025,-0.0285,0.0060999999999999,0.0598,0.0537000000000001
1985-12-01,1985-12,381,0.0388,-0.0051,-0.0154,0.0065,0.033800000000000004,0.027300000000000005
1986-01-01,1986-01,380,0.0065,0.0121,0.0044,0.0056,0.0014999999999999996,-0.0041
1986-02-01,1986-02,371,0.0713,-0.0054,-0.0072,0.0053,0.0663,0.061
1986-03-01,1986-03,367,0.0487999999999999,-0.0059,-0.0039,0.006,0.0437999999999999,0.0377999999999999
1986-04-01,1986-04,365,-0.0131,0.0278,-0.0287,0.0052,-0.0181,-0.0233
1986-05-01,1986-05,359,0.0462,-0.0135,-0.0021,0.0049,0.0412,0.0363
1986-06-01,1986-06,352,0.0103,-0.0096,0.0128,0.0052,0.0053,0.00010000000000000026
1986-07-01,1986-07,340,-0.0645,-0.0336,0.047,0.0052,-0.0695,-0.0747
1986-08-01,1986-08,326,0.0607,-0.0417,0.0351,0.0046,0.0557,0.0511
1986-09-01,1986-09,317,-0.086,0.0236,0.0322,0.0045,-0.091,-0.0955
1986-10-01,1986-10,310,0.0466,-0.025,-0.0141999999999999,0.0046,0.041600000000000005,0.037000000000000005
1986-11-01,1986-11,303,0.0116999999999999,-0.0191,-0.0007,0.0039,0.0066999999999999,0.0027999999999999
1986-12-01,1986-12,296,-0.0327,0.0013,0.0036,0.0049,-0.0377,-0.0426
1987-01-01,1987-01,292,0.1247,-0.0181,-0.0316,0.0042,0.1197,0.1155
1987-02-01,1987-02,285,0.0438999999999999,0.0349,-0.0591,0.0043,0.0388999999999999,0.0345999999999999
1987-03-01,1987-03,286,0.0163999999999999,0.0045,0.0161,0.0046999999999999,0.0113999999999999,0.0067
1987-04-01,1987-04,290,-0.0210999999999999,-0.0169,-0.0039,0.0044,-0.0260999999999999,-0.030499999999999902
1987-05-01,1987-05,301,0.0011,-0.005,0.0023,0.0038,-0.0039,-0.0077
1987-06-01,1987-06,311,0.0394,-0.0212,0.0104,0.0048,0.0344,0.0296
1987-07-01,1987-07,327,0.0385,-0.0069,0.0068,0.0046,0.0335,0.028900000000000002
1987-08-01,1987-08,331,0.0352,-0.0077,-0.0093,0.0046999999999999,0.0302,0.025500000000000102
1987-09-01,1987-09,336,-0.0259,0.0054,0.0027,0.0045,-0.0309,-0.0354
1987-10-01,1987-10,340,-0.2324,-0.0843,0.0424,0.006,-0.2374,-0.2434
1987-11-01,1987-11,333,-0.0776999999999999,0.0272,0.0295,0.0034999999999999,-0.0826999999999999,-0.0861999999999998
1987-12-01,1987-12,329,0.0681,0.0013,-0.0443,0.0039,0.06309999999999999,0.05919999999999999
1988-01-01,1988-01,326,0.0421,-0.0072,0.0501,0.0029,0.0371,0.0342
1988-02-01,1988-02,326,0.0475,0.0334,-0.0171,0.0046,0.0425,0.0379
1988-03-01,1988-03,317,-0.0227,0.0615,0.0073,0.0044,-0.027700000000000002,-0.032100000000000004
1988-04-01,1988-04,315,0.0056,0.01,0.0167,0.0046,0.0005999999999999998,-0.004
1988-05-01,1988-05,309,-0.0029,-0.026,0.0242,0.0051,-0.0079,-0.013000000000000001
1988-06-01,1988-06,303,0.0479,0.0210999999999999,-0.0124,0.0049,0.0429,0.038
1988-07-01,1988-07,301,-0.0125,-0.0025,0.0222,0.0051,-0.0175,-0.022600000000000002
1988-08-01,1988-08,296,-0.0331,0.0004,0.0215,0.0059,-0.038099999999999995,-0.044
1988-09-01,1988-09,289,0.033,-0.0131,-0.0075,0.0062,0.028,0.0218
1988-10-01,1988-10,287,0.0115,-0.0293,0.0204999999999999,0.0060999999999999,0.0065,0.00040000000000009993
1988-11-01,1988-11,282,-0.0229,-0.0172,0.0141,0.0056999999999999,-0.0279,-0.0335999999999999
1988-12-01,1988-12,280,0.0149,0.0195,-0.0169,0.0063,0.009899999999999999,0.003599999999999999
1989-01-01,1989-01,270,0.061,-0.0223,0.006,0.0055,0.056,0.0505
1989-02-01,1989-02,267,-0.0225,0.0282,0.0101,0.0060999999999999,-0.0275,-0.0335999999999999
1989-03-01,1989-03,255,0.0157,0.0067,0.0058,0.0067,0.010699999999999998,0.0039999999999999975
1989-04-01,1989-04,241,0.0433,-0.0068,-0.0141999999999999,0.0067,0.0383,0.0316
1989-05-01,1989-05,222,0.0335,-0.0005,-0.0088,0.0079,0.0285,0.0206
1989-06-01,1989-06,212,-0.0135,-0.0102,0.0225,0.0070999999999999,-0.0185,-0.0255999999999999
1989-07-01,1989-07,210,0.072,-0.0414,-0.0279,0.0069999999999999,0.06699999999999999,0.06000000000000009
1989-08-01,1989-08,205,0.0144,0.0056,0.006,0.0074,0.009399999999999999,0.0019999999999999983
1989-09-01,1989-09,199,-0.0076,0.0032,-0.0127,0.0065,-0.0126,-0.0191
1989-10-01,1989-10,197,-0.0366999999999999,-0.0323,-0.0111,0.0068,-0.0416999999999999,-0.0484999999999999
1989-11-01,1989-11,194,0.0103,-0.0124,-0.0109,0.0069,0.0053,-0.0015999999999999999
1989-12-01,1989-12,199,0.0116,-0.0236,0.0016,0.0060999999999999,0.006599999999999999,0.0005000000000000993
1990-01-01,1990-01,204,-0.0785,-0.0124,0.0085,0.0056999999999999,-0.0835,-0.0891999999999999
1990-02-01,1990-02,202,0.0111,0.0098999999999999,0.0064,0.0056999999999999,0.0061,0.0004000000000001008
1990-03-01,1990-03,196,0.0183,0.015,-0.0292,0.0064,0.0133,0.006899999999999999
1990-04-01,1990-04,185,-0.0336,-0.0046,-0.0259,0.0069,-0.038599999999999995,-0.0455
1990-05-01,1990-05,171,0.0842,-0.0253,-0.0383,0.0068,0.07919999999999999,0.07239999999999999
1990-06-01,1990-06,157,-0.0109,0.0139999999999999,-0.0192999999999999,0.0063,-0.0159,-0.0222
1990-07-01,1990-07,138,-0.019,-0.0312,-0.0003,0.0068,-0.024,-0.0308
1990-08-01,1990-08,132,-0.1015,-0.0356999999999999,0.0163999999999999,0.0066,-0.10650000000000001,-0.1131
1990-09-01,1990-09,123,-0.0612,-0.0365,0.0064,0.006,-0.0662,-0.0722
1990-10-01,1990-10,114,-0.0192,-0.0557,0.001,0.0068,-0.0242,-0.031
1990-11-01,1990-11,108,0.0635,0.0043,-0.031,0.0056999999999999,0.0585,0.052800000000000104
1990-12-01,1990-12,108,0.0246,0.0081,-0.017,0.006,0.0196,0.0136
1991-01-01,1991-01,106,0.0469,0.0381,-0.016,0.0052,0.0419,0.036699999999999997
