,Coefficient,Std Error,t-value,p-value
const,-0.011292512769699576,0.0003957706081016602,-28.532974754908803,4.5691679881452714e-179
Mkt-RF,1.0067702418269604,0.003240126448861387,310.71942953977907,0.0
