Perm,CUSIP,SIC,ISSUER_NAME,SHARES,PRICE,OFFER_SIZE,ISSUE_DATE,ANNOUNCEMENT_DATE,PERIOD
42905,03008710,3842,AMER STERILIZER CO,1200000,21.5,25.8,1983-06-14,1983-05-17,28.0
12424,02365010,4512,AMERICA WEST AIRLINES,1000000,9.5,9.5,1984-03-22,1984-02-02,49.0
12424,02365010,4512,AMERICA WEST AIRLINES,3400000,7.0,23.8,1985-04-11,1985-03-01,41.0
44548,03078920,5311,AMES DEPARTMENT STORES,750000,21.5,16.125,1982-03-31,1982-03-24,7.0
44548,03078920,5311,AMES DEPARTMENT STORES,2700000,47.0,126.9,1985-06-18,1985-06-04,14.0
64709,03114510,3143,AMFESCO INDUSTRIES INC,425000,11.375,4.834,1984-12-19,1984-09-14,96.0
14008,03116210,2836,AMGEN,2300000,15.0,34.5,1986-03-18,1986-02-03,43.0
14008,03116210,2836,AMGEN,1000000,34.0,34.0,1987-04-15,1987-03-05,41.0
18075,03203710,3316,AMPCO-PITTSBURGH CORP,1200000,16.5,19.8,1983-12-06,1983-08-09,119.0
18075,03203710,3316,AMPCO-PITTSBURGH CORP,3000000,21.5,64.5,1984-07-19,1984-07-05,14.0
21020,00176510,4511,AMR CORP,5000000,40.125,200.625,1985-04-24,1985-04-18,6.0
64151,03237510,7379,ANACOMP INC,700000,17.75,12.425,1979-12-11,1979-11-13,28.0
60871,03265410,3612,ANALOG DEVICES INC,1000000,35.625,35.625,1983-06-28,1983-06-15,13.0
14198,03265720,3825,ANALOGIC CORP,650000,28.5,18.525,1980-11-25,1980-11-07,18.0
14198,03265720,3825,ANALOGIC CORP,650000,42.5,27.625,1983-01-11,1983-01-05,6.0
14219,03268110,7371,ANALYSTS INTERNATL CORP,300000,8.875,2.663,1981-01-28,,
14219,03268110,7371,ANALYSTS INTERNATL CORP,350000,10.75,3.763,1983-12-06,1983-07-12,147.0
14227,03274410,3812,ANAREN MICROWAVE INC,750000,10.5,7.875,1983-09-20,1983-08-23,28.0
63861,03384910,3494,ANDERSON GREENWOOD & CO,600000,13.5,8.1,1981-03-26,1981-01-16,69.0
14331,03452810,3829,ANDROS ANALYZERS INC,575000,7.5,4.313,1983-08-25,1983-06-07,79.0
14331,03452810,3829,ANDROS ANALYZERS INC,750000,12.75,9.563,1987-10-09,1987-09-03,36.0
64397,03673210,5065,ANTHEM ELECTRONICS INC,700000,22.5,15.75,1983-08-16,1983-07-29,18.0
64397,03673210,5065,ANTHEM ELECTRONICS INC,1600000,13.0,20.8,1987-09-23,1987-09-02,21.0
14614,03790410,3571,APOLLO COMPUTER INC,3000000,22.125,66.375,1984-10-11,1984-09-07,34.0
48813,03815910,7391,APPLIED DATA RESEARCH,425000,17.875,7.597,1981-08-21,1981-08-04,17.0
52804,03821310,3679,APPLIED MAGNETICS CORP,850000,38.5,32.725,1987-05-06,1987-04-30,6.0
14702,03822210,3674,APPLIED MATERIALS INC,560000,30.25,16.94,1983-04-08,1983-03-29,10.0
14702,03822210,3559,APPLIED MATERIALS INC,1250000,28.5,35.625,1987-09-24,1987-08-24,31.0
